fold,model_file,calibrator_file,model_backend,threshold_policy_name,probability_calibration_method,selected_threshold,selected_threshold_map,threshold_selection_mode,calibration_exposure,feasible_threshold_count,train_size,calibration_size,test_size,train_start,train_end,calibration_start,calibration_end,test_start,test_end
16,fold_016.pkl,fold_016_calibrator.pkl,xgboost,trend_regime,none,0.6499999999999999,"{""bull_trend"": 0.7, ""other"": 0.6}",feasible_best,0.25688073394495414,81,504,100,252,2008-12-12T00:00:00+00:00,2010-12-13T00:00:00+00:00,2010-07-23T00:00:00+00:00,2010-12-13T00:00:00+00:00,2010-12-29T00:00:00+00:00,2011-12-27T00:00:00+00:00
17,fold_017.pkl,fold_017_calibrator.pkl,xgboost,trend_regime,none,0.575,"{""bull_trend"": 0.55, ""other"": 0.6}",feasible_best,0.45544554455445546,81,504,100,252,2009-12-14T00:00:00+00:00,2011-12-12T00:00:00+00:00,2011-07-22T00:00:00+00:00,2011-12-12T00:00:00+00:00,2011-12-28T00:00:00+00:00,2012-12-28T00:00:00+00:00
18,fold_018.pkl,fold_018_calibrator.pkl,xgboost,trend_regime,none,0.525,"{""bull_trend"": 0.5, ""other"": 0.55}",feasible_best,0.28431372549019607,81,504,100,252,2010-12-14T00:00:00+00:00,2012-12-13T00:00:00+00:00,2012-07-23T00:00:00+00:00,2012-12-13T00:00:00+00:00,2012-12-31T00:00:00+00:00,2013-12-30T00:00:00+00:00
19,fold_019.pkl,fold_019_calibrator.pkl,xgboost,trend_regime,none,0.45,"{""bull_trend"": 0.5, ""other"": 0.4}",feasible_best,0.6078431372549019,81,504,100,252,2011-12-13T00:00:00+00:00,2013-12-13T00:00:00+00:00,2013-07-25T00:00:00+00:00,2013-12-13T00:00:00+00:00,2013-12-31T00:00:00+00:00,2014-12-30T00:00:00+00:00
20,fold_020.pkl,fold_020_calibrator.pkl,xgboost,trend_regime,none,0.6000000000000001,"{""bull_trend"": 0.8, ""other"": 0.4}",feasible_best,0.59,81,504,100,252,2012-12-14T00:00:00+00:00,2014-12-15T00:00:00+00:00,2014-07-25T00:00:00+00:00,2014-12-15T00:00:00+00:00,2014-12-31T00:00:00+00:00,2015-12-30T00:00:00+00:00
21,fold_021.pkl,fold_021_calibrator.pkl,xgboost,trend_regime,none,0.7250000000000001,"{""bull_trend"": 0.65, ""other"": 0.8}",feasible_best,0.7254901960784313,81,504,100,252,2013-12-16T00:00:00+00:00,2015-12-15T00:00:00+00:00,2015-07-27T00:00:00+00:00,2015-12-15T00:00:00+00:00,2015-12-31T00:00:00+00:00,2016-12-29T00:00:00+00:00
22,fold_022.pkl,fold_022_calibrator.pkl,xgboost,trend_regime,none,0.5,"{""bull_trend"": 0.6, ""other"": 0.4}",feasible_best,0.14678899082568808,81,504,100,252,2014-12-16T00:00:00+00:00,2016-12-14T00:00:00+00:00,2016-07-26T00:00:00+00:00,2016-12-14T00:00:00+00:00,2016-12-30T00:00:00+00:00,2017-12-29T00:00:00+00:00
23,fold_023.pkl,fold_023_calibrator.pkl,xgboost,trend_regime,none,0.6000000000000001,"{""bull_trend"": 0.8, ""other"": 0.4}",feasible_best,0.3055555555555556,81,504,100,252,2015-12-16T00:00:00+00:00,2017-12-14T00:00:00+00:00,2017-07-26T00:00:00+00:00,2017-12-14T00:00:00+00:00,2018-01-02T00:00:00+00:00,2019-01-02T00:00:00+00:00
24,fold_024.pkl,fold_024_calibrator.pkl,xgboost,trend_regime,none,0.6,"{""bull_trend"": 0.45, ""other"": 0.75}",feasible_best,0.36633663366336633,81,504,100,252,2016-12-15T00:00:00+00:00,2018-12-17T00:00:00+00:00,2018-07-26T00:00:00+00:00,2018-12-17T00:00:00+00:00,2019-01-03T00:00:00+00:00,2020-01-02T00:00:00+00:00
25,fold_025.pkl,fold_025_calibrator.pkl,xgboost,trend_regime,none,0.4,"{""bull_trend"": 0.4, ""other"": 0.4}",feasible_best,0.1619047619047619,81,504,100,252,2017-12-15T00:00:00+00:00,2019-12-17T00:00:00+00:00,2019-07-29T00:00:00+00:00,2019-12-17T00:00:00+00:00,2020-01-03T00:00:00+00:00,2020-12-31T00:00:00+00:00
26,fold_026.pkl,fold_026_calibrator.pkl,xgboost,trend_regime,none,0.4,"{""bull_trend"": 0.4, ""other"": 0.4}",feasible_best,0.12745098039215685,81,504,100,252,2018-12-18T00:00:00+00:00,2020-12-16T00:00:00+00:00,2020-07-28T00:00:00+00:00,2020-12-16T00:00:00+00:00,2021-01-04T00:00:00+00:00,2021-12-31T00:00:00+00:00
27,fold_027.pkl,fold_027_calibrator.pkl,xgboost,trend_regime,none,0.47500000000000003,"{""bull_trend"": 0.55, ""other"": 0.4}",feasible_best,0.8316831683168316,81,504,100,252,2019-12-18T00:00:00+00:00,2021-12-16T00:00:00+00:00,2021-07-28T00:00:00+00:00,2021-12-16T00:00:00+00:00,2022-01-03T00:00:00+00:00,2023-01-03T00:00:00+00:00
28,fold_028.pkl,fold_028_calibrator.pkl,xgboost,trend_regime,none,0.6000000000000001,"{""bull_trend"": 0.4, ""other"": 0.8}",feasible_best,0.3669724770642202,81,504,100,252,2020-12-17T00:00:00+00:00,2022-12-16T00:00:00+00:00,2022-07-28T00:00:00+00:00,2022-12-16T00:00:00+00:00,2023-01-04T00:00:00+00:00,2024-01-04T00:00:00+00:00
29,fold_029.pkl,fold_029_calibrator.pkl,xgboost,trend_regime,none,0.4,"{""bull_trend"": 0.4, ""other"": 0.4}",feasible_best,0.7407407407407407,81,504,100,252,2021-12-17T00:00:00+00:00,2023-12-19T00:00:00+00:00,2023-07-31T00:00:00+00:00,2023-12-19T00:00:00+00:00,2024-01-05T00:00:00+00:00,2025-01-06T00:00:00+00:00
30,fold_030.pkl,fold_030_calibrator.pkl,xgboost,trend_regime,none,0.45,"{""bull_trend"": 0.5, ""other"": 0.4}",feasible_best,0.92,81,504,100,252,2022-12-19T00:00:00+00:00,2024-12-19T00:00:00+00:00,2024-07-31T00:00:00+00:00,2024-12-19T00:00:00+00:00,2025-01-07T00:00:00+00:00,2026-01-08T00:00:00+00:00
