Date,symbol,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1993-01-29 00:00:00+00:00,SPY,43.96875,43.96875,43.75,43.9375,24.17538070678711,1003200.0,0.0,1.0
1993-02-01 00:00:00+00:00,SPY,43.96875,44.25,43.96875,44.25,24.347332000732422,480500.0,0.0,1.0
1993-02-02 00:00:00+00:00,SPY,44.21875,44.375,44.125,44.34375,24.398923873901367,201300.0,0.0,1.0
1993-02-03 00:00:00+00:00,SPY,44.40625,44.84375,44.375,44.8125,24.65683364868164,529400.0,0.0,1.0
1993-02-04 00:00:00+00:00,SPY,44.96875,45.09375,44.46875,45.0,24.75999641418457,531500.0,0.0,1.0
1993-02-05 00:00:00+00:00,SPY,44.96875,45.0625,44.71875,44.96875,24.74280548095703,492100.0,0.0,1.0
1993-02-08 00:00:00+00:00,SPY,44.96875,45.125,44.90625,44.96875,24.74280548095703,596100.0,0.0,1.0
1993-02-09 00:00:00+00:00,SPY,44.8125,44.8125,44.5625,44.65625,24.57084846496582,122100.0,0.0,1.0
1993-02-10 00:00:00+00:00,SPY,44.65625,44.75,44.53125,44.71875,24.605226516723633,379600.0,0.0,1.0
1993-02-11 00:00:00+00:00,SPY,44.78125,45.125,44.78125,44.9375,24.725610733032227,19500.0,0.0,1.0
1993-02-12 00:00:00+00:00,SPY,44.875,44.875,44.59375,44.59375,24.536460876464844,42500.0,0.0,1.0
1993-02-16 00:00:00+00:00,SPY,44.46875,44.46875,43.40625,43.46875,23.917455673217773,374800.0,0.0,1.0
1993-02-17 00:00:00+00:00,SPY,43.46875,43.53125,43.28125,43.4375,23.900272369384766,210900.0,0.0,1.0
1993-02-18 00:00:00+00:00,SPY,43.9375,43.9375,42.8125,43.40625,23.88306999206543,378100.0,0.0,1.0
1993-02-19 00:00:00+00:00,SPY,43.40625,43.5625,43.34375,43.5625,23.969057083129883,34900.0,0.0,1.0
1993-02-22 00:00:00+00:00,SPY,43.6875,43.78125,43.5625,43.71875,24.055009841918945,513600.0,0.0,1.0
1993-02-23 00:00:00+00:00,SPY,43.84375,43.875,43.46875,43.6875,24.037822723388672,373700.0,0.0,1.0
1993-02-24 00:00:00+00:00,SPY,43.71875,44.25,43.71875,44.25,24.347332000732422,26300.0,0.0,1.0
1993-02-25 00:00:00+00:00,SPY,44.21875,44.375,44.125,44.34375,24.398923873901367,44500.0,0.0,1.0
1993-02-26 00:00:00+00:00,SPY,44.4375,44.4375,44.1875,44.40625,24.43328857421875,66200.0,0.0,1.0
1993-03-01 00:00:00+00:00,SPY,44.5625,44.5625,44.21875,44.28125,24.364524841308594,66500.0,0.0,1.0
1993-03-02 00:00:00+00:00,SPY,44.3125,44.9375,44.25,44.9375,24.725610733032227,182400.0,0.0,1.0
1993-03-03 00:00:00+00:00,SPY,45.0,45.15625,44.9375,45.125,24.828771591186523,280100.0,0.0,1.0
1993-03-04 00:00:00+00:00,SPY,45.1875,45.1875,44.875,44.875,24.691213607788086,89500.0,0.0,1.0
1993-03-05 00:00:00+00:00,SPY,44.9375,45.125,44.71875,44.75,24.622434616088867,40000.0,0.0,1.0
1993-03-08 00:00:00+00:00,SPY,44.84375,45.75,44.84375,45.75,25.17266273498535,50800.0,0.0,1.0
1993-03-09 00:00:00+00:00,SPY,45.65625,45.6875,45.5,45.59375,25.086687088012695,169300.0,0.0,1.0
1993-03-10 00:00:00+00:00,SPY,45.59375,45.6875,45.40625,45.6875,25.13825035095215,194400.0,0.0,1.0
1993-03-11 00:00:00+00:00,SPY,45.71875,45.84375,45.5,45.5625,25.069490432739258,70900.0,0.0,1.0
1993-03-12 00:00:00+00:00,SPY,45.1875,45.21875,44.8125,45.09375,24.811574935913086,643600.0,0.0,1.0
1993-03-15 00:00:00+00:00,SPY,45.0625,45.3125,45.0625,45.3125,24.93193817138672,310800.0,0.0,1.0
1993-03-16 00:00:00+00:00,SPY,45.3125,45.4375,45.3125,45.3125,24.93193817138672,30800.0,0.0,1.0
1993-03-17 00:00:00+00:00,SPY,45.25,45.25,44.96875,45.03125,24.77719497680664,21800.0,0.0,1.0
1993-03-18 00:00:00+00:00,SPY,45.21875,45.5,45.21875,45.3125,24.93193817138672,59300.0,0.0,1.0
1993-03-19 00:00:00+00:00,SPY,45.28125,45.28125,45.03125,45.03125,24.894214630126953,66900.0,0.213,1.0
